date,total_clones,unique_clones
2022-08-17,2,2
2022-08-18,1,1
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,12,7
2022-08-26,1,1
2022-08-27,7,5
2022-08-28,1,1
2022-08-29,2,2
2022-08-30,2,2
2022-08-31,1,1
2022-09-01,16,8
2022-09-02,5,4
2022-09-03,1,1
2022-09-04,1,1
2022-09-05,1,1
2022-09-06,4,2
2022-09-07,6,4
2022-09-08,1,1
2022-09-09,1,1
2022-09-10,5,4
2022-09-11,2,2
2022-09-12,1,1
2022-09-13,2,2
2022-09-14,2,2
2022-09-15,2,2
2022-09-16,3,2
2022-09-17,4,2
2022-09-18,2,2
2022-09-19,3,3
2022-09-20,2,2
2022-09-21,2,2
2022-09-22,2,2
2022-09-23,2,2
2022-09-24,2,2
2022-09-25,3,3
2022-09-26,0,0
